ID,Tipo,Descripción corta,Descripción,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3
13124,variable,Pletina de hierro de 400x12 mm,Pletina de hierro de 400x12 mm. Calidad: S275JR,218,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13125,variable,Pletina de hierro de 400x15 mm,Pletina de hierro de 400x15 mm. Calidad: S275JR,219,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13126,variable,Pletina de hierro de 400x20 mm,Pletina de hierro de 400x20 mm. Calidad: S275JR,220,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13127,variable,Pletina de hierro de 400x25 mm,Pletina de hierro de 400x25 mm. Calidad: S275JR,221,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13128,variable,Pletina de hierro de 400x30 mm,Pletina de hierro de 400x30 mm. Calidad: S275JR,222,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13129,variable,Pletina de hierro de 400x40 mm,Pletina de hierro de 400x40 mm. Calidad: S275JR,223,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
52207,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52208,variation,,,2,Color,Oxido,,1,,,,,,,,,
52209,variation,,,3,Color,Hierro,,1,,,,,,,,,
52210,variation,,,4,Color,Blanco,,1,,,,,,,,,
52211,variation,,,5,Color,Negro,,1,,,,,,,,,
52215,variation,,,4,Color,Blanco,,1,,,,,,,,,
52216,variation,,,5,Color,Negro,,1,,,,,,,,,
52212,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52213,variation,,,2,Color,Oxido,,1,,,,,,,,,
52214,variation,,,3,Color,Hierro,,1,,,,,,,,,
52220,variation,,,4,Color,Blanco,,1,,,,,,,,,
52221,variation,,,5,Color,Negro,,1,,,,,,,,,
52217,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52218,variation,,,2,Color,Oxido,,1,,,,,,,,,
52219,variation,,,3,Color,Hierro,,1,,,,,,,,,
52226,variation,,,5,Color,Negro,,1,,,,,,,,,
52224,variation,,,3,Color,Hierro,,1,,,,,,,,,
52225,variation,,,4,Color,Blanco,,1,,,,,,,,,
52222,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52223,variation,,,2,Color,Oxido,,1,,,,,,,,,
52227,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52228,variation,,,2,Color,Oxido,,1,,,,,,,,,
52229,variation,,,3,Color,Hierro,,1,,,,,,,,,
52230,variation,,,4,Color,Blanco,,1,,,,,,,,,
52231,variation,,,5,Color,Negro,,1,,,,,,,,,
52235,variation,,,4,Color,Blanco,,1,,,,,,,,,
52236,variation,,,5,Color,Negro,,1,,,,,,,,,
52232,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52233,variation,,,2,Color,Oxido,,1,,,,,,,,,
52234,variation,,,3,Color,Hierro,,1,,,,,,,,,
52237,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52238,variation,,,2,Color,Oxido,,1,,,,,,,,,
